,name,objid,date,ra,dec,dist,type,subtype,mapp,mabs,importance
0,AKEBONO (EXOS-D),1989-016A,1989-01-01,214.50434207938756,-0.7414143439144082,6.255529850028285e-05,Satellite,scientific,25.0,25.0,0
0,APRIZESAT 2,2004-025A,2004-01-01,339.97862139595287,-0.7437718027759144,4.7314315660646433e-05,Satellite,communication,25.0,25.0,0
0,ATLAS CENTAUR 2,1963-047A,1963-01-01,174.96544796649007,0.08350602103967288,5.136288388886024e-05,Satellite,visual,25.0,25.0,0
0,BEIJING 1,2005-043A,2005-01-01,280.94080915859126,-1.6945501562627494,4.7234351085118404e-05,Satellite,monitoring,25.0,25.0,0
0,CALSPHERE 1,1964-063C,1964-01-01,209.82975806623588,-0.7764353321558128,4.9370062058516105e-05,Satellite,radar,25.0,25.0,0
0,CELESTIS-02,1998-007D,1998-01-01,222.83702004683676,-1.1336855990259052,4.8381827226813745e-05,Satellite,spaceburial,25.0,25.0,0
0,COSMOS 2251,1993-036A,1993-01-01,55.299871172831246,1.0349198230316792,4.779441516827552e-05,Satellite,debris,25.0,25.0,0
0,COSMOS 2361 [-],1998-076A,1998-01-01,357.0567164181764,-0.20212271362324483,4.910090774601328e-05,Satellite,navigation,25.0,25.0,0
0,COSMOS 2425 (716),2006-062A,2006-01-01,358.4861409968928,-0.13281229256603333,0.0001701308628585417,Satellite,navigation,25.0,25.0,0
0,FENGYUN 1C,1999-025A,1999-01-01,87.30504961978743,1.7254892850163626,4.8256979998973275e-05,Satellite,debris,25.0,25.0,0
0,GLOBALSTAR M001 [-],1998-008A,1998-01-01,204.55639249442595,-0.328782717792996,5.277108856461322e-05,Satellite,communication,25.0,25.0,0
0,GOES 1 (SMS-C) [-],1975-100A,1975-01-01,97.0979527732881,0.2028756082186463,0.0002819258308897441,Satellite,monitoring,25.0,25.0,0
0,GORIZONT 1 [-],1978-118A,1978-01-01,284.81149279383254,-0.2530895481979788,0.00023711299516953398,Satellite,communication,25.0,25.0,0
0,GPS BIIR-2  (PRN 13),1997-035A,1997-01-01,103.22998517355398,0.9556606038915582,0.00017762494084754585,Satellite,navigation,25.0,25.0,0
0,INTELSAT 701 (IS-701),1993-066A,1993-01-01,151.34117169569964,0.040509165465697765,0.00028375890194534567,Satellite,communication,25.0,25.0,0
0,IRIDIUM 7 [+],1997-020B,1997-01-01,327.1720955002716,-0.8986198744894414,4.782493963230673e-05,Satellite,communication,25.0,25.0,0
0,MOLNIYA 2-9,1974-026A,1974-01-01,191.88910804488523,-0.1840691542492798,0.0002595755512501944,Satellite,communication,25.0,25.0,0
0,MTI,2000-014A,2000-01-01,304.8650958320154,-1.465343445545293,4.541138187515252e-05,Satellite,military,25.0,25.0,0
0,NOAA 1 [-],1970-106A,1970-01-01,60.89198060577456,1.5189801853378069,5.221995127030476e-05,Satellite,monitoring,25.0,25.0,0
